"CPC - ZM6 CE0327";"por hora"
Fecha;"PM10 (μg/m³)";"PM2.5 (μg/m³)"
"2024-07-08 00:00:00";34.731;9.972
"2024-07-08 01:00:00";38.781;11.911
"2024-07-08 02:00:00";41.955;13.631
"2024-07-08 03:00:00";36.212;10.932
"2024-07-08 04:00:00";18.937;3.922
"2024-07-08 05:00:00";21.057;2.773
"2024-07-08 06:00:00";19.214;2.419
"2024-07-08 07:00:00";31.644;3.317
"2024-07-08 08:00:00";16.479;2.253
"2024-07-08 09:00:00";12.735;1.976
"2024-07-08 10:00:00";17.527;3.096
"2024-07-08 11:00:00";15.679;3.606
"2024-07-08 12:00:00";23.077;5.413
"2024-07-08 13:00:00";18.799;4.599
"2024-07-08 14:00:00";17.377;5.336
"2024-07-08 15:00:00";27.442;8.042
"2024-07-08 16:00:00";26.644;6.997
"2024-07-08 17:00:00";24.209;6.499
"2024-07-08 18:00:00";28.898;6.454
"2024-07-08 19:00:00";26.448;6.841
"2024-07-08 20:00:00";16.944;4.962
"2024-07-08 21:00:00";13.277;4.022
"2024-07-08 22:00:00";14.294;4.511
"2024-07-08 23:00:00";13.631;4.165
"2024-07-09 00:00:00";15.018;4.92
"2024-07-09 01:00:00";18.062;5.146
"2024-07-09 02:00:00";18.507;5.151
"2024-07-09 03:00:00";18.318;4.157
"2024-07-09 04:00:00";23.174;4.622
"2024-07-09 05:00:00";38.32;5.986
"2024-07-09 06:00:00";30.955;6.678
"2024-07-09 07:00:00";52.251;8.064
"2024-07-09 08:00:00";60.174;7.275
"2024-07-09 09:00:00";36.577;7.207
"2024-07-09 10:00:00";36.037;7.549
"2024-07-09 11:00:00";62.612;7.201
"2024-07-09 12:00:00";52.457;5.413
"2024-07-09 13:00:00";24.618;4.485
"2024-07-09 14:00:00";40.877;10.324
"2024-07-09 15:00:00";39.461;11.33
"2024-07-09 16:00:00";25.488;7.755
"2024-07-09 17:00:00";28.35;7.232
"2024-07-09 18:00:00";75.127;8.003
"2024-07-09 19:00:00";97.166;17.568
"2024-07-09 20:00:00";40.322;6.77
"2024-07-09 21:00:00";20.461;4.494
"2024-07-09 22:00:00";20.066;5.234
"2024-07-09 23:00:00";17.57;4.825
"2024-07-10 00:00:00";21.911;6.228
"2024-07-10 01:00:00";26.698;6.871
"2024-07-10 02:00:00";24.44;6.641
"2024-07-10 03:00:00";24.537;6.139
"2024-07-10 04:00:00";23.135;5.566
"2024-07-10 05:00:00";25.085;5.453
"2024-07-10 06:00:00";22.281;3.997
"2024-07-10 07:00:00";28.924;4.936
"2024-07-10 08:00:00";15.029;3.951
"2024-07-10 09:00:00";19.829;4.685
"2024-07-10 10:00:00";15.566;4.032
"2024-07-10 11:00:00";17.959;4.679
"2024-07-10 12:00:00";21.824;4.844
"2024-07-10 13:00:00";19.179;4.556
"2024-07-10 14:00:00";24.811;5.006
"2024-07-10 15:00:00";22.388;4.777
"2024-07-10 16:00:00";27.472;5.569
"2024-07-10 17:00:00";45.199;10.85
"2024-07-10 18:00:00";45.111;12.09
"2024-07-10 19:00:00";43.344;10.892
"2024-07-10 20:00:00";35.811;9.206
"2024-07-10 21:00:00";32.533;7.012
"2024-07-10 22:00:00";43.522;9.142
"2024-07-10 23:00:00";24.705;6.992
"2024-07-11 00:00:00";32.211;9.337
"2024-07-11 01:00:00";42.866;12.308
"2024-07-11 02:00:00";66.714;18.487
"2024-07-11 03:00:00";60.422;17.2
"2024-07-11 04:00:00";53.977;14.881
"2024-07-11 05:00:00";56.961;14.681
"2024-07-11 06:00:00";53.27;14.141
"2024-07-11 07:00:00";77.233;20.963
"2024-07-11 08:00:00";68.538;18.747
"2024-07-11 09:00:00";70.609;17.087
"2024-07-11 10:00:00";85.598;19.297
"2024-07-11 11:00:00";90.744;21.177
"2024-07-11 12:00:00";103.312;22.974
"2024-07-11 13:00:00";82.888;21.199
"2024-07-11 14:00:00";144.476;37.462
"2024-07-11 15:00:00";137.844;37.25
"2024-07-11 16:00:00";123.86;30.049
"2024-07-11 17:00:00";159.392;38.802
"2024-07-11 18:00:00";213.772;48.418
"2024-07-11 19:00:00";78.648;15.512
"2024-07-11 20:00:00";54.844;13.885
"2024-07-11 21:00:00";71.433;15.075
"2024-07-11 22:00:00";50.609;13.488
