"El Prado Aut CE0114";"por hora"
Fecha;"PM10 (μg/m³)";"PM2.5 (μg/m³)";"PST (μg/m³)"
"2024-07-08 00:00:00";20.363;8.406;
"2024-07-08 01:00:00";21.965;9.953;
"2024-07-08 02:00:00";19.795;8.691;
"2024-07-08 03:00:00";18.761;8.328;
"2024-07-08 04:00:00";9.668;3.878;
"2024-07-08 05:00:00";8.712;3.4;
"2024-07-08 06:00:00";8.286;3.131;
"2024-07-08 07:00:00";8.867;3.437;
"2024-07-08 08:00:00";8.48;3.125;
"2024-07-08 09:00:00";8.673;2.998;
"2024-07-08 10:00:00";8.17;2.961;
"2024-07-08 11:00:00";9.681;3.647;
"2024-07-08 12:00:00";12.122;4.916;
"2024-07-08 13:00:00";13.091;5.378;
"2024-07-08 14:00:00";14.757;6.018;
"2024-07-08 15:00:00";14.098;5.826;
"2024-07-08 16:00:00";14.447;5.84;
"2024-07-08 17:00:00";15.958;6.353;
"2024-07-08 18:00:00";19.64;6.922;15.499
"2024-07-08 19:00:00";13.207;5.398;
"2024-07-08 20:00:00";11.502;4.267;
"2024-07-08 21:00:00";11.463;4.505;
"2024-07-08 22:00:00";11.773;4.5;
"2024-07-08 23:00:00";11.928;4.616;
"2024-07-09 00:00:00";11.192;4.406;
"2024-07-09 01:00:00";11.115;4.636;
"2024-07-09 02:00:00";10.688;4.531;
"2024-07-09 03:00:00";10.185;4.021;
"2024-07-09 04:00:00";10.107;4.024;
"2024-07-09 05:00:00";10.533;4.395;
"2024-07-09 06:00:00";11.928;4.556;
"2024-07-09 07:00:00";22.856;8.124;15.733
"2024-07-09 08:00:00";17.431;7.39;10.8
"2024-07-09 09:00:00";15.028;6.463;
"2024-07-09 10:00:00";14.563;5.996;
"2024-07-09 11:00:00";12.161;4.996;
"2024-07-09 12:00:00";11.579;4.545;
"2024-07-09 13:00:00";11.773;4.641;
"2024-07-09 14:00:00";14.137;5.265;
"2024-07-09 15:00:00";34.364;9.897;38.966
"2024-07-09 16:00:00";16.423;6.429;
"2024-07-09 17:00:00";16.539;6.191;
"2024-07-09 18:00:00";19.175;6.37;12.9
"2024-07-09 19:00:00";16.307;5.709;
"2024-07-09 20:00:00";15.803;5.449;
"2024-07-09 21:00:00";16.307;5.528;
"2024-07-09 22:00:00";18.438;6.375;
"2024-07-09 23:00:00";19.95;6.647;10.899
"2024-07-10 00:00:00";17.237;6.749;
"2024-07-10 01:00:00";17.082;7.384;
"2024-07-10 02:00:00";16.656;7.322;
"2024-07-10 03:00:00";15.416;6.477;
"2024-07-10 04:00:00";16.811;6.987;
"2024-07-10 05:00:00";16.307;6.596;
"2024-07-10 06:00:00";17.004;6.463;
"2024-07-10 07:00:00";17.431;6.763;
"2024-07-10 08:00:00";13.556;5.081;
"2024-07-10 09:00:00";12.238;4.831;
"2024-07-10 10:00:00";14.563;5.812;
"2024-07-10 11:00:00";16.733;6.438;
"2024-07-10 12:00:00";16.54;6.319;
"2024-07-10 13:00:00";17.16;6.423;
"2024-07-10 14:00:00";19.019;6.834;10
"2024-07-10 15:00:00";21.228;7.424;11.133
"2024-07-10 16:00:00";26.421;8.942;13.166
"2024-07-10 17:00:00";29.288;10.291;15.066
"2024-07-10 18:00:00";32.35;11.342;17.083
"2024-07-10 19:00:00";27.273;10.155;13.35
"2024-07-10 20:00:00";26.421;9.702;13.099
"2024-07-10 21:00:00";26.731;9.673;12.566
"2024-07-10 22:00:00";24.522;8.73;12.419
"2024-07-10 23:00:00";25.801;9.013;12.85
"2024-07-11 00:00:00";37;15.521;19.033
"2024-07-11 01:00:00";35.062;15.765;16.916
"2024-07-11 02:00:00";46.377;20.828;24.416
"2024-07-11 03:00:00";52.151;23.364;27.666
"2024-07-11 04:00:00";46.61;21.157;24.916
"2024-07-11 05:00:00";41.805;18.882;21.066
"2024-07-11 06:00:00";40.72;18.587;20.266
"2024-07-11 07:00:00";62.11;26.486;33.616
"2024-07-11 08:00:00";66.721;27.586;37.95
"2024-07-11 09:00:00";59.862;24.843;34.25
"2024-07-11 10:00:00";57.576;22.724;32.016
"2024-07-11 11:00:00";72.068;26.954;42.15
"2024-07-11 12:00:00";74.122;28.056;43.066
"2024-07-11 13:00:00";72.959;27.761;43.733
"2024-07-11 14:00:00";74.316;26.818;44
"2024-07-11 15:00:00";76.331;27.45;46.8
"2024-07-11 16:00:00";67.418;24.727;39.583
"2024-07-11 17:00:00";56.181;20.984;31.999
"2024-07-11 18:00:00";53.895;19.757;30.983
"2024-07-11 19:00:00";47.268;17.235;26.116
"2024-07-11 20:00:00";46.106;17.295;25.666
"2024-07-11 21:00:00";44.44;16.116;24.25
"2024-07-11 22:00:00";40.138;15.045;21.333
"2024-07-11 23:00:00";41.223;15.414;22.466
"2024-07-12 00:00:00";29.944;16.326;16.266
"2024-07-12 01:00:00";27.493;15.535;14.383
"2024-07-12 02:00:00";25.108;13.914;12.516
"2024-07-12 03:00:00";23.328;12.505;12.475
"2024-07-12 04:00:00";29.239;15.65;16.049
"2024-07-12 05:00:00";39.712;17.788;19.75
"2024-07-12 06:00:00";42.076;19.349;21.366
"2024-07-12 07:00:00";50.291;22.466;26.149
"2024-07-12 08:00:00";47.888;20.905;24.949
"2024-07-12 09:00:00";50.846;22.507;28.333
"2024-07-12 10:00:00";48.147;24.592;30.599
"2024-07-12 11:00:00";52.815;26.465;34.35
"2024-07-12 12:00:00";58.222;28.45;38.299
"2024-07-12 13:00:00";61.781;29.379;42.083
"2024-07-12 14:00:00";68.968;31.997;47.233
"2024-07-12 15:00:00";63.192;30.077;41.65
"2024-07-12 16:00:00";39.18;19.028;23.616
"2024-07-12 17:00:00";33.068;15.597;19.399
"2024-07-12 18:00:00";29.071;13.93;17
"2024-07-12 19:00:00";33.135;15.207;19.583
"2024-07-12 20:00:00";44.956;20.515;28.55
"2024-07-12 21:00:00";53.453;24.012;35.366
"2024-07-12 22:00:00";53.822;24.526;35.2
"2024-07-12 23:00:00";37.803;16.554;23.516
"2024-07-13 00:00:00";30.818;15.697;17.766
"2024-07-13 01:00:00";17.854;9.158;10.199
"2024-07-13 02:00:00";18.056;9.286;
"2024-07-13 03:00:00";18.325;9.756;
"2024-07-13 04:00:00";20.415;11.432;10.3
"2024-07-13 05:00:00";18.18;10.439;10
"2024-07-13 06:00:00";17.318;9.513;
"2024-07-13 07:00:00";18.269;9.971;10.599
"2024-07-13 08:00:00";20.141;11.19;11.725
"2024-07-13 09:00:00";20.408;11.337;11.616
