"P. Dispersos CE0154";"perfil horario"
Hora;"PM10 (μg/m³)";"PM2.5 (μg/m³)";"PST (μg/m³)"
0;35.129;16.353;79.571
1;31.047;16.411;69.377
2;35.139;16.67;75.95
3;36.538;17;75.617
4;36.54;16.72;76.731
5;37.486;17.123;76.378
6;38.362;16.825;81.889
7;38.98;17.705;81.755
8;35.235;17.179;70.408
9;34.445;17.113;70.169
10;33.185;16.582;70.043
11;34.552;17.457;71.116
12;35.503;17.595;73.821
13;33.767;17.252;69.216
14;35.774;17.954;73.53
15;37.717;18.918;77.248
16;33.697;16.873;70.51
17;36.867;16.671;84.614
18;35.313;16.719;80.503
19;36.774;17.419;83.961
20;36.99;17.852;84.912
21;33.157;16.519;74.483
22;32.056;16.036;71.484
23;31.575;15.346;70.637
