"P. Dispersos CE0154";"por hora"
Fecha;"PM10 (μg/m³)";"PM2.5 (μg/m³)";"PST (μg/m³)"
"2024-07-08 00:00:00";25.72;13.71;62.1
"2024-07-08 01:00:00";29.704;15.828;70.15
"2024-07-08 02:00:00";33.391;18.244;78.972
"2024-07-08 03:00:00";33.691;18.206;79.605
"2024-07-08 04:00:00";19.854;10.473;47.649
"2024-07-08 05:00:00";17.408;8.351;46.588
"2024-07-08 06:00:00";18.102;8.174;53.505
"2024-07-08 07:00:00";21.146;8.987;65.737
"2024-07-08 08:00:00";8.685;5.524;21.953
"2024-07-08 09:00:00";7.399;5.465;17.412
"2024-07-08 10:00:00";7.533;5.826;17.446
"2024-07-08 11:00:00";9.14;7.41;20.035
"2024-07-08 12:00:00";15.042;10.052;33.459
"2024-07-08 13:00:00";21.757;11.697;47.898
"2024-07-08 14:00:00";21.137;13.395;43.692
"2024-07-08 15:00:00";22.993;14.385;48.15
"2024-07-08 16:00:00";23.953;14.777;49.638
"2024-07-08 17:00:00";31.841;16.325;77.316
"2024-07-08 18:00:00";33.265;16.842;83.931
"2024-07-08 19:00:00";32.011;16.544;80.035
"2024-07-08 20:00:00";17.189;11.21;35.903
"2024-07-08 21:00:00";16.68;10.475;35.981
"2024-07-08 22:00:00";16.45;11.134;34.35
"2024-07-08 23:00:00";16.094;10.249;31.494
"2024-07-09 00:00:00";18.745;11.562;38.266
"2024-07-09 01:00:00";22.765;12.143;53.511
"2024-07-09 02:00:00";21.15;11.594;45.344
"2024-07-09 03:00:00";20.97;11.776;42.746
"2024-07-09 04:00:00";23.919;12.543;52.698
"2024-07-09 05:00:00";29.896;13.693;66.675
"2024-07-09 06:00:00";30.933;13.629;73.64
"2024-07-09 07:00:00";27.446;14.015;63.877
"2024-07-09 08:00:00";25.541;14.119;53.781
"2024-07-09 09:00:00";22.531;13.655;48.738
"2024-07-09 10:00:00";18.874;12.453;38.061
"2024-07-09 11:00:00";15.999;11.114;32.094
"2024-07-09 12:00:00";12.628;9.754;24.635
"2024-07-09 13:00:00";13.906;10.146;28.138
"2024-07-09 14:00:00";22.954;12.335;50.912
"2024-07-09 15:00:00";23.854;12.732;52.109
"2024-07-09 16:00:00";17.061;11.779;34.774
"2024-07-09 17:00:00";19.109;11.578;42.753
"2024-07-09 18:00:00";21.941;10.4;56.555
"2024-07-09 19:00:00";26.306;14.236;63.896
"2024-07-09 20:00:00";43.428;24.859;93.607
"2024-07-09 21:00:00";33.75;13.733;92.051
"2024-07-09 22:00:00";27.866;12.721;68.85
"2024-07-09 23:00:00";28.109;13.542;64.392
"2024-07-10 00:00:00";29.673;14.065;66.542
"2024-07-10 01:00:00";26.785;15.349;56.427
"2024-07-10 02:00:00";29.56;16.1;62.477
"2024-07-10 03:00:00";30.529;15.576;61.033
"2024-07-10 04:00:00";32.884;15.804;65.583
"2024-07-10 05:00:00";33.365;15.172;65.833
"2024-07-10 06:00:00";32.38;12.675;67.438
"2024-07-10 07:00:00";20.426;10.14;46.718
"2024-07-10 08:00:00";12.116;7.863;25.074
"2024-07-10 09:00:00";11.391;8.518;22.431
"2024-07-10 10:00:00";14.16;10.114;27.288
"2024-07-10 11:00:00";15.306;11.15;29.84
"2024-07-10 12:00:00";15.751;11.173;30.994
"2024-07-10 13:00:00";17.325;11.308;35.527
"2024-07-10 14:00:00";18.893;11.895;37.898
"2024-07-10 15:00:00";19.783;13.298;40.899
