"CALMAN PA CE0048";"perfil horario"
Hora;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)";"Presión Atmosférica (hPa)";"Velocidad del Viento (Kt) (Nudos (kt))"
0;104.986;1.801;86.876;1.093;0;28.293;0.4;758.207;1010.841;3.495
1;202.738;1.404;89.204;2.393;0;27.583;1.2;757.742;1010.221;2.724
2;157.919;0.992;90.882;1.62;0;27.112;0.6;757.514;1009.917;1.925
3;121.803;1.582;92.264;0;0;26.828;0;757.501;1009.9;3.07
4;185.319;1.371;93.734;0.333;0;26.568;0.4;757.601;1010.033;2.66
5;153.708;1.08;99.012;2622.199;1092.579;26.111;1.2;757.94;1010.485;2.095
6;154.453;0.879;97.663;2.553;45.576;26.07;1.8;758.337;1011.016;1.706
7;135.679;0.927;92.042;0.8;150.661;27.163;0.4;758.708;1011.509;1.799
8;152.91;1.242;87.857;0;305.88;28.448;0;759.085;1012.012;2.41
9;54.824;1.494;83.58;0;496.159;29.84;0;759.154;1012.104;2.899
10;40.187;1.307;79.071;0;635.704;31.203;0;758.907;1011.774;2.535
11;293.683;1.89;76.049;0;707.654;32.399;0;758.541;1011.288;3.667
12;324.166;1.904;72.764;0;804.84;33.39;0;757.983;1010.544;3.693
13;322.041;2.159;69.84;0;784.973;34.307;0;757.38;1009.739;4.189
14;344.385;1.826;67.33;0;662.433;34.941;0;756.902;1009.102;3.543
15;16.517;2.041;68.242;0;443.523;34.857;0;756.513;1008.584;3.961
16;33.757;1.981;69.238;0;281.647;34.097;0;756.321;1008.327;3.844
17;298.234;1.915;75.214;0;107.057;33.034;0;756.458;1008.51;3.716
18;72.426;1.625;80.473;0;8.842;31.296;0;756.854;1009.038;3.152
19;73.149;1.445;82.826;0;0;30.397;0;757.262;1009.582;2.803
20;348.519;1.9;80.169;0;374.479;30.033;0;757.648;1010.097;3.687
21;74.07;1.634;81.161;0;0;29.655;0;758.047;1010.629;3.171
22;66.938;1.771;85.173;0;0;29.003;0;758.349;1011.031;3.436
23;45.35;2.117;85.164;0;0;28.764;0;758.345;1011.026;4.108
