"CALMAN PA CE0048";"por hora"
Fecha;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)";"Presión Atmosférica (hPa)";"Velocidad del Viento (Kt) (Nudos (kt))"
"2024-07-08 00:00:00";104.986;0.998;87.083;0;0;28.026;0;757.723;1010.197;1.936
"2024-07-08 01:00:00";202.738;2.263;92.183;0;0;27.384;0;757.516;1009.92;4.39
"2024-07-08 02:00:00";157.919;1.682;94.233;0;0;27.059;0;757.626;1010.067;3.264
"2024-07-08 03:00:00";121.803;3.202;95.4;0;0;26.911;0;757.973;1010.53;6.212
"2024-07-08 04:00:00";185.319;2.171;96.383;0;0;26.632;0;757.965;1010.519;4.213
"2024-07-08 05:00:00";153.708;1.759;96;0;0;26.157;0;758.299;1010.965;3.413
"2024-07-08 06:00:00";154.453;0.627;96;0;21.333;25.99;0;758.421;1011.127;1.217
"2024-07-08 07:00:00";135.679;0.681;95.383;0;111.1;26.495;0;758.901;1011.767;1.322
"2024-07-08 08:00:00";152.91;0.355;91.516;0;208.033;27.716;0;759.434;1012.478;0.69
"2024-07-08 09:00:00";54.824;0.691;89.866;0;301.449;28.235;0;759.341;1012.353;1.341
"2024-07-08 10:00:00";40.187;0.512;86.333;0;426.999;29.438;0;759.052;1011.969;0.994
"2024-07-08 11:00:00";293.683;1.375;82.25;0;723.233;31.018;0;758.837;1011.681;2.668
"2024-07-08 12:00:00";324.166;1.254;79.65;0;478.216;31.587;0;758.407;1011.109;2.434
"2024-07-08 13:00:00";322.041;1.634;79.133;0;662.533;32.189;0;757.585;1010.013;3.17
"2024-07-08 14:00:00";344.385;1.963;77.199;0;704.716;33.054;0;757.007;1009.242;3.809
"2024-07-08 15:00:00";16.517;1.547;76.95;0;526.4;33.374;0;756.481;1008.541;3.002
"2024-07-08 16:00:00";33.757;1.496;70.899;0;352.566;33.937;0;756.137;1008.082;2.904
"2024-07-08 17:00:00";298.234;0.965;70.8;0;135.433;34.078;0;756.07;1007.993;1.873
"2024-07-08 18:00:00";72.426;1.914;79.383;0;7.783;31.926;0;756.533;1008.61;3.714
"2024-07-08 19:00:00";73.149;2.209;83.583;0;0;30.536;0;756.904;1009.104;4.286
"2024-07-08 20:00:00";348.519;2.953;76.633;0;0;29.525;0;757.309;1009.644;5.729
"2024-07-08 21:00:00";74.07;1.314;79.416;0;0;28.961;0;757.61;1010.046;2.549
"2024-07-08 22:00:00";66.938;1.812;78.949;0;0;28.928;0;757.646;1010.094;3.517
"2024-07-08 23:00:00";45.35;1.22;79.666;0;0;28.795;0;757.804;1010.304;2.368
"2024-07-09 00:00:00";9.668;1.776;81.449;0;0;28.367;0;757.556;1009.974;3.446
"2024-07-09 01:00:00";312.845;1.665;83.116;0;0;27.939;0;757.32;1009.659;3.231
"2024-07-09 02:00:00";303.5;0.604;84.413;0;0;27.58;0;756.856;1009.041;1.173
"2024-07-09 03:00:00";196.904;0.372;87.416;0;0;27.057;0;756.481;1008.54;0.722
"2024-07-09 04:00:00";221.602;1.233;92.15;0;0;26.462;0;756.508;1008.577;2.392
"2024-07-09 05:00:00";276.704;1.02;93.283;0;0.166;25.922;0;756.652;1008.768;1.98
"2024-07-09 06:00:00";88;0.926;93.633;0;62.149;26;0;757.079;1009.338;1.797
"2024-07-09 07:00:00";83.835;0.539;88.066;0;203.866;28.502;0;757.514;1009.918;1.046
"2024-07-09 08:00:00";127.505;0.79;83.166;0;389.283;30.224;0;758.184;1010.812;1.533
"2024-07-09 09:00:00";336.614;1.696;80;0;608.833;31.353;0;758.165;1010.786;3.29
"2024-07-09 10:00:00";322.623;1.088;73.066;0;743.233;33.093;0;757.88;1010.406;2.111
"2024-07-09 11:00:00";244.792;1.323;69.666;0;663.75;34.331;0;757.539;1009.951;2.568
"2024-07-09 12:00:00";288.714;1.58;66.183;0;836.433;35.204;0;757.003;1009.237;3.066
"2024-07-09 13:00:00";233.406;2.297;60.916;0;810.349;36.281;0;756.43;1008.473;4.457
"2024-07-09 14:00:00";281.908;1.792;62.633;0;670.483;36.284;0;755.867;1007.722;3.477
"2024-07-09 15:00:00";222.578;1.912;62.25;0;538.783;36.507;0;755.284;1006.944;3.709
"2024-07-09 16:00:00";55.603;1.904;58.166;0;369.566;35.944;0;755.088;1006.683;3.694
"2024-07-09 17:00:00";180.074;2.673;75.099;0;133.983;33.989;0;754.894;1006.425;5.186
"2024-07-09 18:00:00";205.501;2.389;82.7;0;10.833;31.404;0;755.396;1007.094;4.636
"2024-07-09 19:00:00";281;0.644;85.6;0;0;30.4;0;755.964;1007.851;1.25
"2024-07-09 20:00:00";96.179;0.887;81.466;0;0;30.232;0;756.516;1008.587;1.722
"2024-07-09 21:00:00";69.745;1.289;87.05;0;0;29.499;0;757.033;1009.277;2.501
"2024-07-09 22:00:00";15.272;1.007;88.533;0;0;29.328;0;757.384;1009.744;1.953
"2024-07-09 23:00:00";330.14;1.595;86.366;0;0;28.49;0;757.35;1009.699;3.095
"2024-07-10 00:00:00";190.02;2.161;87.583;1.093;0;28.449;0.4;757.68;1010.139;4.192
"2024-07-10 01:00:00";109.878;1.858;94.516;2.393;0;26.923;1.2;757.091;1009.354;3.605
"2024-07-10 02:00:00";213.52;1.11;96.866;1.62;0;26.387;0.6;756.79;1008.953;2.153
"2024-07-10 03:00:00";81.541;2.444;98;0;0;26.127;0;756.327;1008.335;4.742
"2024-07-10 04:00:00";187.22;1.237;98.133;0;0;26.187;0;756.583;1008.677;2.4
"2024-07-10 05:00:00";140.677;1.189;101.239;748.971;2184.459;25.932;0;756.936;1009.147;2.306
"2024-07-10 06:00:00";217.067;1.297;96.933;0;48.999;25.702;0;757.359;1009.711;2.517
"2024-07-10 07:00:00";145.496;0.962;94.5;0;142.699;26.199;0;758.025;1010.598;1.868
"2024-07-10 08:00:00";168.322;2.018;90.216;0;320.899;27.199;0;758.125;1010.733;3.915
"2024-07-10 09:00:00";212.436;1.156;85.716;0;610.366;29.231;0;757.993;1010.557;2.242
"2024-07-10 10:00:00";301.239;1.065;78.283;0;811.066;31.177;0;757.995;1010.56;2.066
"2024-07-10 11:00:00";41.321;1.524;74.149;0;777.666;32.368;0;757.463;1009.85;2.957
"2024-07-10 12:00:00";90.83;1.383;70.8;0;876.233;33.647;0;756.736;1008.88;2.684
"2024-07-10 13:00:00";273.085;2.321;66.866;0;781.716;34.467;0;755.909;1007.779;4.503
"2024-07-10 14:00:00";264.376;2.32;68.133;0;697.099;34.907;0;755.245;1006.892;4.501
"2024-07-10 15:00:00";284.628;1.837;67.316;0;486.283;35.14;0;754.778;1006.27;3.564
"2024-07-10 16:00:00";272.592;1.365;66.616;0;327.7;35.505;0;754.807;1006.308;2.648
"2024-07-10 17:00:00";303.593;1.314;71.516;0;107.899;34.144;0;754.917;1006.456;2.549
"2024-07-10 18:00:00";285.058;1.196;71.816;0;7.733;32.499;0;755.187;1006.816;2.321
"2024-07-10 19:00:00";74.75;0.839;76.216;0;0;31.6;0;755.687;1007.482;1.628
