"El Prado Aut CE0114";"perfil horario"
Hora;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
0;202;0.98;88.619;6;0;27.005;2.6;754.893
1;167;0.645;89.166;11;0;26.674;2.6;754.422
2;167;0.57;90.19;5;0;26.305;0.4;754.189
3;170;0.904;91.071;0;0;25.981;0;754.18
4;200;0.697;92.142;4;0;25.982;0.6;754.293
5;141.044;0.397;93.047;9;0.285;25.76;2.2;754.541
6;192.5;0.349;93.595;18;55.261;25.689;3.8;754.962
7;196.35;0.505;92.857;10;218.309;26.902;1;755.38
8;220.244;0.715;89.69;0;365.404;28.582;0;755.724
9;226.05;0.876;86.5;0;530.357;29.899;0;755.842
10;135.666;0.645;82.38;0;691.595;31.606;0;755.638
11;295.288;1.143;77.357;0;771.904;33.082;0;755.303
12;330;1.313;73;0;728.785;34.105;0;754.762
13;217.8;1.101;68.714;0;839.904;35.349;0;754.229
14;31.9;0.92;66.761;0;679.809;35.619;0;753.749
15;83;0.876;66.476;0;484.142;35.279;0.4;753.313
16;66;1.237;68.38;0;303.666;34.357;0;753.097
17;78;1.33;73.452;0;110.595;33.097;0;753.144
18;99;0.959;78.833;0;11.214;31.242;0;753.364
19;99;0.812;83.261;0;0;29.42;0;753.746
20;348;1.29;84.309;0;0;28.494;0;754.177
21;126;0.792;85.619;0;0;27.846;0;754.66
22;180;1.064;86.619;0;0;27.523;0;754.989
23;116;1.432;87.142;0;0;27.324;0.2;755.023
