"El Prado Aut CE0114";"por hora"
Fecha;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
"2024-07-08 00:00:00";202;0.338;90.666;0;0;26.323;0;754.206
"2024-07-08 01:00:00";167;0.781;90.166;0;0;26.471;0;753.971
"2024-07-08 02:00:00";167;0.571;91;0;0;26.221;0;754.139
"2024-07-08 03:00:00";170;1.247;92.166;0;0;26.045;0;754.41
"2024-07-08 04:00:00";200;1.087;96;0;0;27.368;0;754.575
"2024-07-08 05:00:00";141.044;0.254;98;0;1.166;27.376;0;754.814
"2024-07-08 06:00:00";192.5;0.004;98.333;0;80.166;27.272;0;755.012
"2024-07-08 07:00:00";196.35;0.291;98.333;0;287.833;28.254;0;755.602
"2024-07-08 08:00:00";220.244;0.281;96.166;0;326.333;29.707;0;756.006
"2024-07-08 09:00:00";226.05;0.094;94;0;355;30.517;0;756.1
"2024-07-08 10:00:00";135.666;0.436;92;0;442.333;31.581;0;755.941
"2024-07-08 11:00:00";295.288;0.636;88.5;0;670.333;32.592;0;755.485
"2024-07-08 12:00:00";330;0.901;83.333;0;796.333;33.231;0;754.958
"2024-07-08 13:00:00";217.8;0.409;77.833;0;865.5;34.73;0;754.327
"2024-07-08 14:00:00";31.9;0.856;77.5;0;717.5;33.786;0;753.641
"2024-07-08 15:00:00";101;0.372;76;0;556.166;33.074;0;753.043
"2024-07-08 16:00:00";66;0.223;73.5;0;363.666;33.509;0;752.817
"2024-07-08 17:00:00";78;0.223;76;0;128.166;32.851;0;752.717
"2024-07-08 18:00:00";99;0.715;80.666;0;9.5;31.509;0;752.976
"2024-07-08 19:00:00";99;1.144;84.833;0;0;29.462;0;753.206
"2024-07-08 20:00:00";348;1.897;82;0;0;28.009;0;753.742
"2024-07-08 21:00:00";126;0.953;82.333;0;0;27.833;0;754.097
"2024-07-08 22:00:00";180;1.048;83.833;0;0;27.305;0;754.127
"2024-07-08 23:00:00";116;1.013;84.333;0;0;27.166;0;754.315
"2024-07-09 00:00:00";336;1.196;85;0;0;26.935;0;754.101
"2024-07-09 01:00:00";324;0.687;86.166;0;0;26.574;0;753.888
"2024-07-09 02:00:00";179;0.263;88.333;0;0;26.268;0;753.391
"2024-07-09 03:00:00";179;0.162;89.666;0;0;25.879;0;753.018
"2024-07-09 04:00:00";179;0.41;91;0;0;25.435;0;753.106
"2024-07-09 05:00:00";197;0.318;91.833;0;0;24.981;0;753.223
"2024-07-09 06:00:00";178;0.366;93;0;77.666;25.027;0;753.721
"2024-07-09 07:00:00";176;0.264;91.166;0;319.166;27.611;0;754.106
"2024-07-09 08:00:00";182;0.178;85.666;0;512.333;30.092;0;754.733
"2024-07-09 09:00:00";315;0.298;82.333;0;716;31.416;0;754.675
"2024-07-09 10:00:00";57;0.149;76.333;0;818.5;33.601;0;754.461
"2024-07-09 11:00:00";115;0.641;68.666;0;757;35.092;0;754.11
"2024-07-09 12:00:00";279;0.936;61.333;0;790.333;36.472;0;753.662
"2024-07-09 13:00:00";221;1.15;56.333;0;854.833;37.722;0;753.277
"2024-07-09 14:00:00";266;0.853;58.833;0;681.833;37.203;0;752.725
"2024-07-09 15:00:00";129;0.907;59.333;0;553.333;36.314;0;752.115
"2024-07-09 16:00:00";45;1.269;60.5;0;377;36.009;0;751.948
"2024-07-09 17:00:00";99;2.03;69;0;136.333;34.833;0;751.554
"2024-07-09 18:00:00";221;1.241;76;0;11.833;32.333;0;751.851
"2024-07-09 19:00:00";242;0.339;81.833;0;0;30.203;0;752.362
"2024-07-09 20:00:00";131;0.857;86.333;0;0;28.962;0;752.939
"2024-07-09 21:00:00";143;0.836;89.5;0;0;28.083;0;753.541
"2024-07-09 22:00:00";184;0.747;89.5;0;0;27.574;0;753.959
"2024-07-09 23:00:00";184;1.163;88.833;0;0;27.314;0;753.947
"2024-07-10 00:00:00";302;1.452;89.333;6;0;27.166;2.4;754.315
"2024-07-10 01:00:00";138;0.881;91;11;0;26.453;1.8;753.779
"2024-07-10 02:00:00";209;0.724;92.166;5;0;26.111;0.2;753.411
"2024-07-10 03:00:00";104;1.595;93;0;0;25.759;0;753.069
"2024-07-10 04:00:00";200;0.612;93.166;0;0;25.796;0;753.236
"2024-07-10 05:00:00";200;0.624;93.833;0;0;25.953;0;753.549
