"P. Dispersos CE0154";"perfil horario"
Hora;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
0;26;0.884;85.658;6.777;0;27.578;0.8;747.268
1;187;0.226;86.208;10.444;0;26.804;2.4;746.817
2;187;0.289;83.301;7.111;0;26.148;0.4;746.566
3;222;0.355;81.661;0;0;25.835;0;746.549
4;237.332;0.353;80.473;8.666;0;25.752;1;746.648
5;222.444;0.199;79.465;8.444;0.219;25.313;1.8;746.953
6;203;0.143;77.113;12.444;39.526;25.2;2.8;747.381
7;203;0.396;83.386;5;181.798;26.458;1;747.82
8;222;0.801;86.566;0;335.875;27.973;0;748.1
9;124;1.111;85.478;0;468.735;29.272;0;748.117
10;195.667;0.924;81.941;0;592.312;30.732;0;747.832
11;343.889;1.226;76.984;0;687.137;32.11;0;747.513
12;271.666;1.34;73.812;0;572.809;33.006;0;746.977
13;289.333;1.47;70.394;0;653.478;33.718;0;746.349
14;73.555;1.241;67.973;0;603.447;34.228;0;745.802
15;44.111;1.291;68.989;9.111;434.219;34.004;0.8;745.428
16;85.111;1.088;71.709;0;275.753;33.109;0;745.208
17;90;0.924;78.616;0;99.603;32.18;0;745.355
18;99;0.379;84.515;0;8.711;30.585;0;745.696
19;99;0.504;87.277;0;0;29.452;0;746.138
20;43.666;1.046;85.425;0;0;28.897;0;746.611
21;84.222;1.002;84.674;0;0;28.524;0;747.011
22;76;1.164;85.357;0;0;28.289;0;747.337
23;82.888;1.313;85.269;0;0;27.947;0;747.358
