"P. Dispersos CE0154";"por hora"
Fecha;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Intensidad Lluvia (mm/h)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
"2024-07-08 00:00:00";26;0.016;88.629;0;0;26.965;0;746.827
"2024-07-08 01:00:00";187;0.082;85.277;0;0;26.277;0;746.637
"2024-07-08 02:00:00";187;0.033;82.37;0;0;25.975;0;746.733
"2024-07-08 03:00:00";222;0.198;79.518;0;0;25.882;0;747.068
"2024-07-08 04:00:00";237.332;0.918;80.5;0;0;26.16;0;747.041
"2024-07-08 05:00:00";222.444;0.463;82.037;0;0;25.698;0;747.351
"2024-07-08 06:00:00";203;0.008;80.814;0;15.74;25.471;0;747.489
"2024-07-08 07:00:00";203;0.157;82.759;0;107.185;26.074;0;748.095
"2024-07-08 08:00:00";222;0.215;88.777;0;215.518;27.452;0;748.511
"2024-07-08 09:00:00";124;0.173;89.259;0;300.462;28.054;0;748.397
"2024-07-08 10:00:00";195.667;0.422;87.833;0;430.722;29.413;0;748.025
"2024-07-08 11:00:00";343.889;0.885;84.648;0;619.611;30.721;0;747.892
"2024-07-08 12:00:00";271.666;1.34;85.351;0;483.111;30.964;0;747.339
"2024-07-08 13:00:00";289.333;1.042;83.351;0;597.796;31.661;0;746.597
"2024-07-08 14:00:00";73.555;1.349;81.259;0;626.055;31.896;0;745.989
"2024-07-08 15:00:00";44.111;1.613;80.462;0;520.796;31.976;0;745.397
"2024-07-08 16:00:00";85.111;0.769;73.888;0;355.833;32.604;0;745.088
"2024-07-08 17:00:00";90;1.009;79.444;0;129.055;32.235;0;745.051
"2024-07-08 18:00:00";99;0.231;86.999;0;6.999;30.888;0;745.388
"2024-07-08 19:00:00";99;1.224;88.296;0;0;29.967;0;745.712
"2024-07-08 20:00:00";43.666;2.739;81.74;0;0;29.163;0;746.326
"2024-07-08 21:00:00";84.222;1.547;85.555;0;0;28.014;0;746.552
"2024-07-08 22:00:00";76;1.332;85.148;0;0;27.953;0;746.636
"2024-07-08 23:00:00";82.888;1.82;87.481;0;0;27.239;0;746.776
"2024-07-09 00:00:00";34.333;1.812;83.796;0;0;28.112;0;746.56
"2024-07-09 01:00:00";280;0.397;87.685;0;0;27.601;0;746.407
"2024-07-09 02:00:00";216;0.182;88.944;0;0;26.246;0;745.866
"2024-07-09 03:00:00";216;0.016;87.407;0;0;25.763;0;745.479
"2024-07-09 04:00:00";216.555;0.082;84.537;0;0;25.568;0;745.576
"2024-07-09 05:00:00";239;0;81.944;0;0.185;25.139;0;745.703
"2024-07-09 06:00:00";239;0.115;74.722;0;61.574;25.106;0;746.176
"2024-07-09 07:00:00";200;0.256;85.5;0;285.499;27.879;0;746.655
"2024-07-09 08:00:00";205;0.181;84.462;0;469.129;30.295;0;747.086
"2024-07-09 09:00:00";87.888;0.645;79.87;0;616.999;31.462;0;747.109
"2024-07-09 10:00:00";65.333;0.819;74.055;0;659.963;32.855;0;746.749
"2024-07-09 11:00:00";229.444;0.794;67.537;0;649.444;33.99;0;746.414
"2024-07-09 12:00:00";201;0.744;58.351;0;588.055;35.443;0;745.937
"2024-07-09 13:00:00";250.444;1.2;53.814;0;689.296;36.264;0;745.407
"2024-07-09 14:00:00";192.889;1.017;56.055;0;562.481;36.129;0;744.76
"2024-07-09 15:00:00";105.444;1.05;59.259;0;498.499;35.592;0;744.194
"2024-07-09 16:00:00";68.222;1.382;58.722;0;364.851;35.092;0;743.904
"2024-07-09 17:00:00";79;1.174;74.74;0;123.055;33.729;0;743.818
"2024-07-09 18:00:00";293;0.397;85.814;0;9.907;31.287;0;744.228
"2024-07-09 19:00:00";293;0.049;88.666;0;0;29.96;0;744.827
"2024-07-09 20:00:00";293;0.711;88.518;0;0;29.045;0;745.553
"2024-07-09 21:00:00";86.444;0.479;87.851;0;0;28.568;0;745.993
"2024-07-09 22:00:00";44.333;0.604;88.444;0;0;28.587;0;746.385
"2024-07-09 23:00:00";228;0.529;87.944;0;0;28.363;0;746.437
"2024-07-10 00:00:00";225.222;0.604;87.574;6.777;0;27.58;0.6;746.811
"2024-07-10 01:00:00";89;0.248;83.444;10.444;0;26.173;1.8;746.186
"2024-07-10 02:00:00";211;0.074;74.5;7.111;0;25.766;0.2;745.836
"2024-07-10 03:00:00";92;0.661;70.425;0;0;25.657;0;745.461
"2024-07-10 04:00:00";218;0.289;68.907;0;0;25.566;0;745.736
"2024-07-10 05:00:00";218;0.198;70.055;0;0;25.556;0;746.024
"2024-07-10 06:00:00";245;0;71.129;0;40;25.214;0;746.454
"2024-07-10 07:00:00";259;0.173;81.203;0;161.111;25.569;0;747.168
"2024-07-10 08:00:00";237.555;1.34;88.925;0;373.666;26.74;0;747.19
"2024-07-10 09:00:00";236.444;0.852;87.277;0;610.278;28.712;0;747.012
"2024-07-10 10:00:00";184.222;0.827;82.111;0;690.24;30.365;0;746.94
"2024-07-10 11:00:00";96.333;0.653;76.814;0;710.481;31.682;0;746.46
"2024-07-10 12:00:00";40.222;0.959;72.574;0;567.666;32.858;0;745.604
"2024-07-10 13:00:00";281.778;1.696;68.37;0;685.073;33.876;0;744.8
"2024-07-10 14:00:00";286.333;1.762;66.425;0;637.314;34.461;0;744.151
"2024-07-10 15:00:00";251.11;0.86;63.833;0;485.814;34.915;0;743.758
"2024-07-10 16:00:00";290.666;0.744;63.703;0;338.148;35.351;0;743.686
"2024-07-10 17:00:00";263.778;0.827;69.814;0;101.259;33.983;0;743.838
"2024-07-10 18:00:00";317;0.165;74.166;0;8.555;32.038;0;744.003
"2024-07-10 19:00:00";317;0;86.537;0;0;29.987;0;744.582
"2024-07-10 20:00:00";313;0;88.981;0;0;29.102;0;745.414
"2024-07-10 21:00:00";313;0.033;88.555;0;0;28.386;0;746.009
"2024-07-10 22:00:00";23;0;87.703;0;0;27.884;0;746.48
"2024-07-10 23:00:00";23;0.297;88.111;0;0;28.229;0;746.209
"2024-07-11 00:00:00";102.111;1.787;86.5;0;0;28.341;0;746.021
"2024-07-11 01:00:00";71;0.173;88.87;0;0;26.727;0;745.696
"2024-07-11 02:00:00";71;1.365;88.833;0;0;26.572;0;745.307
"2024-07-11 03:00:00";90;0.372;89.277;0;0;25.705;0;745.35
"2024-07-11 04:00:00";296;0.041;84.925;0;0;25.099;0;745.72
"2024-07-11 05:00:00";296;0.041;80.592;0;0.185;24.891;0;745.818
"2024-07-11 06:00:00";296;0.248;78.851;0;51.444;25.125;0;746.155
"2024-07-11 07:00:00";60.666;1.299;88.962;0;210.721;26.974;0;746.514
"2024-07-11 08:00:00";82;0.951;87.074;0;347.074;28.501;0;746.91
"2024-07-11 09:00:00";69;0.661;80.611;0;598.574;30.748;0;747.136
"2024-07-11 10:00:00";119.888;0.678;75.148;0;632.092;32.308;0;746.914
"2024-07-11 11:00:00";266.889;1.837;71.166;0;719.203;33.328;0;746.67
"2024-07-11 12:00:00";241.444;2.002;72.074;0;608.351;33.657;0;746.336
"2024-07-11 13:00:00";276.444;1.936;67.722;0;704.796;34.318;0;746.069
"2024-07-11 14:00:00";253.889;1.1;64.444;0;621.296;35.034;0;745.8
"2024-07-11 15:00:00";285.444;2.044;69.944;0;418.537;34.639;0;745.53
"2024-07-11 16:00:00";254;2.044;77.203;0;197.407;33.078;0;745.248
"2024-07-11 17:00:00";219.889;1.323;86.425;0;70.833;31.472;0;745.499
"2024-07-11 18:00:00";211;0.645;89;0;5.925;29.868;0;745.963
"2024-07-11 19:00:00";191;0;88.74;0;0;28.766;0;746.802
